pro,score
deployment worksno micromanagementvalue adding,16.0
understanding colleguesvery dynamic business,15.666666666666666
lucrative promisessolid business model,15.666666666666666
everyday changing business requirements,15.666666666666666
difficult situationsno one monitor,15.666666666666666
lazy )+ monthly refill,15.5
day shift job near,15.5
thereno work pressurerigorous deadlines,15.432432432432432
marketing activitiesgood work culturepeers,15.432432432432432
clear funda work hard,15.432432432432432
talking promotions every year,15.4
put heregood office facilities,15.4
late beginnings every morning,15.4
good salaryi love driving,15.346938775510203
exciting technologiesmake good contacts,15.346938775510203
opinions sharingno pros whatsoever,15.333333333333334
assistant manager levelgood opportunities,15.333333333333334
large product team focused,15.3
timingshigh learning opportunityeveryday presents,15.291666666666666
opportunitiesopen door policycan learn,15.2
india based worrest company,15.2
smart ceolatest technology used,15.166666666666666
calling department ... hr,15.166666666666666
competitive salarywell stocked pantrygymyou,15.0
using new technologiesdevelopers focus,14.944444444444445
learned manygood work station,14.932432432432432
certain teams onlygood pay,14.916666666666666
diverse learning opportunitieshigher salary,14.891666666666666
business roles3 time meals,14.866666666666667
difficult questions get asked,14.848484848484848
supportive teamgreat learning experiencefast,14.791666666666666
good work envnice plan,14.779371207942637
learnmixed startup feelingcompensation package,14.75
ambitionmarket leadercool work environment,14.695590327169274
hesitate trying new technologies,14.694444444444445
work placedecent paycompany culture,14.682432432432432
olaexcellent work environmentgood culture,14.682432432432432
cutting edge technologybusiness thought,14.666666666666668
nice office environmentyou always,14.65
new technologiesdynamic great ideology,14.620915032679738
40 %. good environment,14.610096670247046
real life scenarios closely,14.583333333333334
flexible timingmarket standard pay,14.55
good salarygreat company vision,14.546938775510204
take ownershipgood learning opportunity,14.541666666666666
work ... work hard,14.531531531531531
good environmentvery smart crowd,14.513605442176871
various teams like category,14.5
learning great thingscore leadership,14.468137254901961
role employeegreat people around,14.424242424242424
never ending learning curve,14.416666666666666
good work culturegood salary,14.379371207942636
work :)- challenging problems,14.3490990990991
org provides good responsibility,14.346938775510203
good hikesfast decision making,14.346938775510203
provide good salary packagebelieve,14.280272108843537
friendly culturea good quality,14.246938775510205
good career opportunities outside,14.180272108843537
startup like cultureamazing place,14.166666666666668
drinks .- good food,14.15249433106576
corporate officefriendly working culture,14.134615384615385
work culturegood working environment,14.080205711784659
understand decision making .-,14.055555555555555
approchablevery friendly working environment,14.047773279352228
good performers get rewarded,14.028756957328387
flexible working hours based,14.017948717948718
fast paced .- authority,13.984126984126984
learn new conceptsgood place,13.97777777777778
technically sound team mates,13.966666666666667
extremely fast paced workplace,13.928571428571427
high visibility team ).,13.799999999999999
really good herelearning experience,13.721938775510203
solutions .- flexible timings,13.688888888888888
work .- good learning,13.626593430164858
good work life balance,13.61270454127597
great challenging working environment,13.490910534254187
decent work life balance,13.465765765765767
difficult business problems,10.583333333333332
understand decision making,10.5
work life balance,10.265765765765765
