summary,date

"""MIS Executive""", 3 Dec 2018

"""Good Company""", 24 Jan 2019

"""Associate""", 22 Jan 2019

"""Good place to learn and grow""", 20 Jan 2019

"""Work culture""", 16 Jan 2019

"""Poor leadership""", 24 Jan 2019

"""SDE 2""", 9 Jan 2019

"""Amazing working at OLA""", 6 Jan 2019

"""Good company and good working environment""", 18 Jan 2019

"""Great place to work""", 3 Jan 2019

"""MIS Executive""", 3 Dec 2018

"""Good Company""", 24 Jan 2019

"""Associate""", 22 Jan 2019

"""Good place to learn and grow""", 20 Jan 2019

"""Work culture""", 16 Jan 2019

"""Poor leadership""", 24 Jan 2019

"""SDE 2""", 9 Jan 2019

"""Amazing working at OLA""", 6 Jan 2019

"""Good company and good working environment""", 18 Jan 2019

"""Great place to work""", 3 Jan 2019

"""SDET-1""", 17 Jan 2019

"""Good learning opportunities""", 30 Dec 2018

"""Good Place to work""", 29 Dec 2018

"""Better learning experience""", 3 Jan 2019

"""Good company but lacks structure""", 2 Jan 2019

"""Good place to work""", 2 Jan 2019

"""overall""", 15 Dec 2018

"""Nice work environment""", 27 Dec 2018

"""SDE2""", 8 Dec 2018

"""Good Place to learn and grow""", 10 Dec 2018

"""Software development engineer""", 14 Dec 2018

"""legal counsel""", 27 Nov 2018

"""Worst HR policies & egoistic top management""", 1 Jan 2019

"""Software Development engineer II""", 10 Dec 2018

"""It's good till it's good""", 23 Nov 2018

"""Pros and cons""", 7 Dec 2018

"""Good company""", 21 Nov 2018

"""Won't recommend""", 5 Dec 2018

"""Bde operations executive""", 5 Dec 2018

"""Business Development""", 9 Nov 2018

"""Software Development Engineer II""", 9 Nov 2018

"""Recommend to work here""", 9 Nov 2018

"""Good Working space""", 7 Nov 2018

"""Good exposure to e commerce world""", 4 Nov 2018

"""Sde1""", 17 Nov 2018

"""Great place to learn and grow!""", 1 Nov 2018

"""Software Engineer 1""", 1 Nov 2018

"""Decent experience""", 30 Oct 2018

"""Awesome work impact, poor work life balance""", 8 Nov 2018

"""Good Entry Point""", 24 Oct 2018

"""My Experience""", 13 Oct 2018

"""Driver""", 13 Oct 2018

"""Ola""", 12 Oct 2018

"""Absolutely Wonderful""", 10 Oct 2018

"""Huge variation in what you expect to work vs what you will work""", 20 Oct 2018

"""Wide range of exposure , high momentum""", 4 Oct 2018

"""Good place to learn scalable applications""", 3 Oct 2018

"""Worked as full time SDET 2""", 15 Oct 2018

"""good""", 27 Sep 2018

"""""Was"" a good place to learn""", 22 Sep 2018

"""Chaotic""", 11 Oct 2018

"""Past work related questions""", 25 Sep 2018

"""am sourcing""", 20 Sep 2018

"""Good Organisation to learn new technology""", 2 Oct 2018

"""HRBP""", 23 Oct 2018

"""Automobile service/maintenance advisor""", 9 Sep 2018

"""Join at your own risk""", 15 Oct 2018

"""Once upon a time Ola was a tech company""", 24 Sep 2018

"""Good culture""", 2 Sep 2018

"""Ola in a nut shell""", 1 Sep 2018

"""Bureaucratic culture""", 12 Sep 2018

"""Admin""", 27 Aug 2018

"""Worst Work Culture, Hell Life, Good experience to go through tough stages in life""", 11 Sep 2018

"""Overall Employee Growth Review""", 7 Sep 2018

"""SDE II""", 22 Aug 2018

"""Senior Business Analyst""", 22 Aug 2018

"""Director""", 5 Sep 2018

"""sde I""", 18 Aug 2018

"""-""", 9 Aug 2018

"""Good Opportunities, Poor Management""", 17 Aug 2018

"""Software Development Engineer-1""", 3 Aug 2018

"""Good place to work""", 2 Aug 2018

"""Overall Good Place but lacks in some fields.""", 2 Aug 2018

"""Good""", 31 Jul 2018

"""Avrragr""", 9 Aug 2018

"""Generic Review""", 24 Jul 2018

"""executive""", 8 Aug 2018

"""SDET 3""", 4 Aug 2018

"""Great Data Company to work for""", 18 Jul 2018

"""Not bad depends on team you are in""", 17 Jul 2018

"""Qae for 4 years""", 12 Jul 2018

"""Experience at Ola""", 11 Jul 2018

"""Brings the best in you""", 8 Jul 2018

"""NOC Engineer""", 8 Jul 2018

"""bAD""", 12 Aug 2018

"""Great Learning with great Pace""", 6 Jul 2018

"""Best Place to learn n grow""", 3 Jul 2018

"""senior quality executive""", 2 Jul 2018

"""Big politics in managment""", 3 Aug 2018

"""Best place to work""", 27 Jun 2018

"""Good Workplace""", 26 Jun 2018

"""Salary at Ola""", 27 Jun 2018

"""account manager""", 25 Jun 2018

"""Great place to learn""", 22 Jun 2018

"""OLA's Immature culture""", 26 Jul 2018

"""company culture""", 6 Jul 2018

"""One of the best companies to work for!!""", 21 Jun 2018

"""No future for Analytics""", 5 Jul 2018

"""Good place to work""", 18 Jun 2018

"""Product Manager""", 29 Jun 2018

"""Analyst""", 27 Jun 2018

"""This Is Growing And Going TO Next Level""", 11 Jun 2018

