summary,date

"""Marketing""", 22 Jan 2019

"""Best thing to happen to anyone""", 22 Jan 2019

"""Creative Lead""", 21 Jan 2019

"""Operations Associate""", 6 Jan 2019

"""Community operations specialist""", 15 Jan 2019

"""COE""", 7 Jan 2019

"""Best place to work""", 23 Dec 2018

"""Fraud Investigation- Level 2 - Compensation to Partners""", 23 Dec 2018

"""Software engineer""", 3 Jan 2019

"""Good workplace""", 26 Dec 2018

"""Marketing""", 22 Jan 2019

"""Best thing to happen to anyone""", 22 Jan 2019

"""Creative Lead""", 21 Jan 2019

"""Operations Associate""", 6 Jan 2019

"""Community operations specialist""", 15 Jan 2019

"""COE""", 7 Jan 2019

"""Best place to work""", 23 Dec 2018

"""Fraud Investigation- Level 2 - Compensation to Partners""", 23 Dec 2018

"""Software engineer""", 3 Jan 2019

"""Good workplace""", 26 Dec 2018

"""Uber""", 26 Nov 2018

"""Good place to work""", 5 Dec 2018

"""I love my job.""", 12 Nov 2018

"""Manager""", 17 Nov 2018

"""Driver Operations ( Customer Resprentative)""", 16 Nov 2018

"""Not so transparent in terms of pay and org levelling""", 16 Nov 2018

"""Great Experience""", 15 Oct 2018

"""Senior Operations & Logistics Manager""", 14 Oct 2018

"""Good Company to showcase your skill""", 8 Oct 2018

"""Super Fast and Energetic Company""", 2 Oct 2018

"""Rollercoaster Live ride""", 3 Oct 2018

"""Great place to work!""", 2 Oct 2018

"""Support function""", 23 Oct 2018

"""Good""", 11 Sep 2018

"""Fun and Fast Moving""", 10 Sep 2018

"""Amazing work Environment with a lot of talented people around you""", 29 Aug 2018

"""Great company to work , exceptions are everywhere!!!""", 30 Aug 2018

"""Data Analyst""", 28 Aug 2018

"""Good MNC""", 6 Sep 2018

"""Quality Specialist""", 3 Sep 2018

"""good""", 4 Sep 2018

"""Awesome""", 18 Aug 2018

"""COE SPECIALIST II""", 21 Aug 2018

"""Nice Place to Work""", 6 Aug 2018

"""Do not Consider this Company.""", 12 Sep 2018

"""Rocketship - Join if you want to change the world""", 30 Jul 2018

"""Awesome 3 months!""", 11 Aug 2018

"""Community Operation Specialist""", 24 Jul 2018

"""Software Developer""", 10 Jul 2018

"""Account securities and Risk Investigator""", 15 Jun 2018

"""Best Culture""", 4 Jun 2018

"""Best Culture""", 28 May 2018

"""Great place to start your career""", 4 Jun 2018

"""My Experience @ Uber""", 18 May 2018

"""Pleasant experience""", 31 May 2018

"""Awesome Job and place to work""", 25 May 2018

"""Okay to start with""", 18 May 2018

"""PSC Manager""", 1 May 2018

"""fleet manager""", 9 May 2018

"""Nice working environment""", 9 May 2018

"""Great place""", 14 Apr 2018

"""Great Place to Work""", 1 Apr 2018

"""Recruiting Co-ordinator""", 1 Apr 2018

"""Field job work""", 1 Apr 2018

"""Community operations specialist""", 6 Mar 2018

"""I enjoy working for my current team as there is a different case every minute, every hour.""", 6 Mar 2018

"""Good working environment""", 9 Mar 2018

"""Comm Ops""", 29 Jan 2018

"""2nd best Company to work with after Facebook""", 30 Jan 2018

"""Good Environment to work, no tensions , treating employees as good..""", 26 Jan 2018

"""First and the best experience""", 16 Jan 2018

"""Software Developer""", 3 Jan 2018

"""Community Specialist""", 14 Dec 2017

"""Good for a fast paced stint but not for the long term""", 12 Dec 2017

"""Operation""", 16 Nov 2017

"""Hard work pays off""", 27 Nov 2017

"""Great work place""", 3 Nov 2017

"""SOo much fun""", 31 Oct 2017

"""Love working with Uber!""", 31 Oct 2017

"""HR - People Ops Coordinator""", 18 Oct 2017

"""Learning & Development Manager""", 21 Oct 2017

"""Software engineer""", 17 Sep 2017

"""Great place for freshers""", 1 Oct 2017

"""No Growth Unless You Are The Favourite""", 20 Sep 2017

"""Why join Uber?""", 4 Sep 2017

"""Uber for Business""", 2 Jul 2017

"""Growing Pains: No More Startup Hustle""", 24 Jul 2017

"""Operations Coordinator""", 4 Jul 2017

"""It has been a rollercoaster ride for me at Uber. The work culture and the people are of good help.""", 20 Jun 2017

"""Driven Workplace""", 25 May 2017

"""intern""", 5 May 2017

"""Low Salary""", 2 May 2017

"""Community Operations Specialist""", 25 Apr 2017

"""The place to learn and unlearn""", 11 Apr 2017

"""Awesome job for avid programmers""", 1 Apr 2017

"""Employee centric company""", 21 Mar 2017

"""General Manager""", 6 Mar 2017

"""i have worked here for only three months""", 17 Mar 2017

"""marketing manager""", 12 Feb 2017

"""Community Operations Specialist""", 13 Feb 2017

"""If you love motion, this is the place""", 25 Jan 2017

"""My Pleasant Experience with UBER""", 17 Jan 2017

"""Challenging and very very fun""", 2 Jan 2017

"""Best place to spend the first 4 years of your career""", 18 Dec 2016

"""Brilliant for people not interest in the Indian main stream( Engineering,MBBS, CA)""", 3 Dec 2016

"""Freedom and accountability""", 20 Dec 2016

"""Best place to work""", 4 Dec 2016

"""Amazing Ride in a Rocket Ship""", 28 Nov 2016

"""Operation coordinator""", 24 Oct 2016

"""Operations Consultant""", 5 Oct 2016

"""Great opportunity to Succeed.""", 20 Sep 2016

"""experience review""", 14 Sep 2016

"""Community Operations Specialist""", 29 Aug 2016

"""Team leader""", 21 Aug 2016

"""Uber BV nederland""", 30 Jul 2016

"""Truely Amazing!!""", 6 Aug 2016

"""Community Operation Specialist""", 12 Jun 2016

"""About Bangalore""", 13 Jun 2016

"""coolest of all""", 31 May 2016

"""Changing the way the world moves""", 22 May 2016

"""Operations consultant role""", 10 Apr 2016

"""Uber makes life easy.""", 2 May 2016

"""UberGOOD""", 27 Mar 2016

"""Uber""", 8 Apr 2016

"""Steepest Learning Curve, Your time at Uber is an investment""", 6 Mar 2016

"""Best Place to Work!!!""", 22 Feb 2016

"""One word - Exciting!""", 11 Jan 2016

"""Community Operations Specilaist""", 13 Jan 2016

"""Best place to work~""", 11 Jan 2016

"""Hard Work. Hustle. Reward. Thrill""", 3 Dec 2015

"""Marketing Manager""", 24 Oct 2015

"""Amazing Culture""", 29 Sep 2015

"""Uber""", 4 Sep 2015

"""Great Product | Bad Management""", 12 Aug 2015

"""Great Place to Work and Learn""", 12 Aug 2015

"""A company full of energy and a desire to be better""", 22 Jan 2019

"""Maintenance technician""", 20 Jan 2019

"""Team Leader.""", 14 Jan 2019

"""Sr. Associate Business Development""", 15 Jan 2019

"""Great place to work!""", 3 Jan 2019

"""Front end company. Each employee is an ownership.""", 10 Jan 2019

"""Loving Uber so far!""", 9 Jan 2019

"""Amazing culture, great environment""", 22 Jan 2019

"""Good""", 22 Jan 2019

"""I love working at Uber""", 8 Jan 2019

"""Loving it here""", 21 Jan 2019

"""waste of time""", 22 Jan 2019

"""Senior Operations Manager""", 2 Jan 2019

"""Uber""", 18 Jan 2019

"""Uber Eats""", 20 Jan 2019

"""Math Instructor""", 5 Jan 2019

"""Great Environment""", 3 Jan 2019

"""Glad to be a part of this team!""", 3 Jan 2019

"""Product design 1""", 2 Jan 2019

"""Account Coordinator""", 2 Jan 2019

"""Awesome place to make an impact""", 2 Jan 2019

"""It's Fun to Work in Uber COE""", 2 Jan 2019

"""The best startup in 2019""", 1 Jan 2019

"""Excellent company to work at""", 2 Jan 2019

"""Challenging, Inspiring, Promising.""", 15 Jan 2019

"""CSR""", 31 Dec 2018

"""Excellent place to work""", 30 Dec 2018

"""Satisfying so far""", 7 Jan 2019

"""Amazing environment with great people""", 17 Dec 2018

"""Great company""", 17 Dec 2018

"""Great job""", 17 Dec 2018

"""Promotions , Support and Driving""", 23 Jan 2019

"""Rating Uber""", 1 Jan 2019

"""Excelent Company""", 17 Dec 2018

"""Good place to work.""", 31 Dec 2018

"""A great place to learn""", 16 Dec 2018

"""It is good to work there""", 14 Dec 2018

"""Disappointing Years of My LIfe""", 16 Jan 2019

"""My job as a sales representative at uber eats""", 26 Dec 2018

"""Good pay/decent perks/culture wasn�t awesome""", 24 Dec 2018

"""GL Expert""", 4 Dec 2018

"""Great company""", 24 Dec 2018

"""I have the knowledge and experience to handle this job.""", 20 Dec 2018

"""Exciting and Ambitious Company with Intense Work Environment""", 4 Dec 2018

"""Life at the Greenlight Hub...""", 5 Dec 2018

"""Great place for your career""", 27 Nov 2018

"""Terrible Management""", 4 Jan 2019

"""Great and dynamic place to work""", 28 Nov 2018

"""Business Analyst""", 30 Nov 2018

